Clue,Answer,Subject
Generalized the binomial theorem,Isaac Newton,Math
Method to find roots of a differential equation,Newton's Method,Math
Wrote the Elements,Euclid,Math
Came up with 5 postulates of geometry,Euclid,Math
Contains proof of infinitely many primes,Elements,Math
Came up with first proof of infinitely many primes,Euclid,Math
"""Prince of Mathematics""",Gauss,Math
Wrote Disquisitiones Arithmeticae,Gauss,Math
Founder of number theory,Gauss,Math
Originally stated of fundamental theorem of arithmetic,Euclid,Math
What is the fundamental theorem of algebra,Every polynomial equation of degree n has n complex roots,Math
Determined purity of a gold crown using density,Archimedes,Math
Used inscribed and circumscribed polygons to approximate pi,Archimedes,Math
This society estimated the value of pi as 3,Babylonians,Math
Introduced the greek letter for pi,William Jones,Math
Popularized greek letter for pi,Euler,Math
Introduced i = sqrt(-1),Euler,Math
came up with modern notation for sin/cos/…,Euler,Math
"called e^(i *pi) = -1 the ""most beautiful equation in mathematics""",Richard Feynmann,Math
He proved the prime number theorem,Gauss,Math
what is the prime number theorem?,# of primes < n ~= n / ln(n),Math
most calculus notation comes from him,Liebniz,Math
Modern inventor of binary system,Liebniz,Math
came up with precursor to logic/boolean algebra,Liebniz,Math
state fermat's little theorem,(a^p -a) is divisible by p,Math
what form are fermat primes,2^(2^n) - 1,Math
state fermat's last theorem,a^n + b^n = c^n has no solutions for n > 2,Math
what book did fermat say he had a proof of fermat's last theorem,Arithmetica,Math
wrote Arithmetica,Diophantus,Math
proved Fermat's Last Theorem,Andrew Wiles,Math
worked with Fermat on probability theory,Pascal,Math
Invented graph theory,Euler,Math
Graph theory was invented to solve this problem,Seven Bridges of Konnigsberg,Math
0.57721 is this constant,Euler-Mascheroni,Math
Came up with 2 incompleteness theorems,Kurt Godel,Math
Died from hunger due to paranoia of being poisoned,Kurt Godel,Math
state godel's incompleteness theorem,a formal logic system must have statements that are true but unprovable,Math
Andrew Wiles proved this conjecture to prove Fermat's Last Theorem,Taniyam-Shimura Conjecture,Math
Command center of the cell,Nucleus,Science
Contains all of the cell's DNA,Nucleus,Science
DNA is in this form during most of the cell cycle,Chromatin,Science
DNA switches to chromasomes during this phase,Mitosis,Science
Ribosomal RNA is produced in this organelle,Nucleolus,Science
"In this type of organisom, there is no nuclear envelope",Prokaryote,Science
Proteins are made in this organelle,Ribosomes,Science
These 2 organelles have a double membrane,Mitochondria/Chloroplasts,Science
Respiration happens in this organelle,Mitochondria,Science
Mitochondria produce energy and release this molecule,ATP,Science
Final protein structures are determined in this organelle,Endoplasmic Reticulum,Science
ER is characterized as smooth or rough based on the presence of this organelle,Ribosomes,Science
Post office of the cell,Golgi Apparatus,Science
Golgi apparatus does this,Stores proteins and packages the for delivery in vesicles,Science
These transport materials in the plasma membrane,Vesicles,Science
This organelle processes vesicles that come from outside the cell,Lysosome,Science
Lysosomes do this,"break down proteins, lipids, nucleic acids",Science
This organelle contains chlorophyll,Chloroplasts,Science
This organelle is the site of photosynthesis,Chloroplasts,Science
Chloroplasts contain these structures where photosynthesis ACTUALLY occurs,Thylakoids,Science
Vacuoles do this,serve as storage for food and waste products,Science
Fresh water plants use this organelle to regulate water imbalance due to salt,Vacuoles,Science
These organelles allow a cell to move,Cilia and Flagella,Science
Describe flagella,"long, whip-like structures",Science
Describe cilia,short hair-like structures,Science
g + 2 arrangement of microtubules,Cilia and Flagella,Science
Cilia and Flagella are powered by ,Kinesin and Dynein,Science
This organelle organizes the microtubule spindle during mitosis,Centrioles,Science
Proved e^(i * pi) = -1,Euler,Science
He quantified wave particle duality,Louis de Broglie,Science
What is wave particle duality,all particles have a characteristic wavelength dependent on their momentum,Science
He explained the photoelectric effect,Albert Einstein,Science
What is the photoelectric effect?,,Science
He explained Brownian motion,Albert Einstein,Science
He reconciled Maxwell's Equations with classical mechanics,Albert Einstein,Science
What is Brownian motion?,,Science
These laws describe low temperature behavior of electrons,Fermi-Dirac statistics,Science
Particles that obey Fermi-Dirac statistics are known as,Fermions,Science
He proposed the existence of neutrinos,Fermi,Science
Describe beta decay,a neutron is transformed into a proton by the emission of an electron + anti-neutrino,Science
An alpha particle is the nucleus of this element,Helium,Science
Describe alpha decay,An alpha particle is ejected from a nucleus resulting in an element with atomic # 2 less than the original,Science
An alpha particle has how many protons and neutrons?,"2 protons, 2 neutrons",Science
"Came up with ""sum over histories"" to calculate path of a particle",Richard Feynmann,Science
Created Quantum Electrodynamics,Richard Feynmann,Science
Richard Feynmann won the nobel prize in this year,1965,Science
Predicted abundance of hydrogen and helium in the early universe,George Gamow,Science
Theorized of the existence of cosmic microwave background radiation,George Gamow,Science
Discovered Cosmic Microwave Background Radiation,Arno Pensias and Robert Wilson,Science
Discovered allotropic forms of hydrogen,Werner Heisenberg,Science
What are allotropes,"Physical forms that an element can bond together (graphite, diamond)",Science
Heisenberg won the nobel prize in this year,1932,Science
He came up with a law of radiation that superseded Rayleigh-Jeans Law,Max Planck,Science
Solved the ultraviolet catastrophe,Max Planck,Science
Said the energy of a particle = wavelength * fixed value h,Max Planck,Science
He proved that atoms have a large positively charged nucleus,Ernest Rutherford,Science
Discovered Carbon-14 decay,Ernest Rutherford,Science
Came up with fundamentals for carbon dating,Ernest Rutherford,Science
Discovered the proton,Ernest Rutherford,Science
Rutherford performed this experiment,Gold Foil Experiment,Science
Discovered the neutron with James Chadwick,Ernest Rutherford,Science
The ideal gas law was stated by this person,Clapyeron,Science
State the ideal gas law,PV = nRT,Science
Ideal gas law doesn't apply to real particles because it doesn't account for these two things,"molecular size, intermolecular forces of attraction",Science
This law generalizes the ideal gas law for real particles,van der Waals equation,Science
State Boyle's Law,Pressure of a gas is inversely proportional to volume,Science
He was Robert Boyle's assistant,Robert Hooke,Science
State Charles's Law,Volume of a gas is proportional to temperature,Science
Charles's Law was confirmed by these two people,"John Dalton, Gay-Lusaac",Science
State Avagadro's Law,Volume of a gas is proportional to amount of molecules,Science
Avagadro's number was named by this person,Jean Baptiste Perrin,Science
Avagadro's number is defined as this,the number of molecules in 1 gram of oxygen,Science
State Gay-Lusaac's Law,Pressure is directly proportional to temperature,Science
He wrote the Skeptical Chymist,Robert Boyle,Science
He wrote Micrographia,Robert Hooke,Science
State Hooke's law,force needed to extend or compress a string scales with distance,Science
Law of elasticity is the generalization of this law,Hooke's Law,Science
State the law of elasticity,strain of an elastic material is proportional to the stress applied to it,Science
Hooke's work led to the invention of this,a watch,Science
He wrote Opticks,Isaac Newton,Science
He discovered Benzene,Michael Faraday,Science
The farad is the si unit of,capacitance,Science
He discovered diamagnetism,Michael Faraday,Science
He discovered the law of electrolysis,Michael Faraday,Science
"He named ""anode"" and ""cathode"", ""ion""",Michael Faraday,Science
He formulated the theory of electromagnetic radiation,James Clerk Maxwell,Science
"This is referred to as ""The second great unification of physics""",Maxwell's Equations,Science
"He wrote ""A Dynamic Theory of the Electromagnetic Field""",James Clerk Maxwell,Science
He wrote Hydrodynamica,Daniel Bernoulli,Science
This distribution describes the kinetic theory of gases,Maxwell-Boltzmann Distribution,Science
"He wrote ""A Treatise on Electricity and Magnetism""",James Clerk Maxwell,Science
"He showed that light, electricity, and magnetism were all manefestations of the same substance",James Clerk Maxwell,Science
This experiement proved aether couldn't exist,Michelson-Morley Experiment,Science
He presented the first color photograph,James Clerk Maxwell,Science
Entropy was explained by this person,Ludwig Boltzmann,Science
He provided the statistical explanation of the second law of thermodynamics,Ludwig Boltzmann,Science
State the first law of thermodynamics,conservation of energy,Science
State the second law of thermodynamics,entropy always increases,Science
These laws makes perpetual motion machines impossible,Laws of thermodynamics,Science
He first stated the first law of thermodynamics,Rudolph Clausius,Science
State the third law of thermodynamics,The entropy of a system approaches a constant value as temperature approaches absolute zero,Science
Conservation of Energy can be proven by this theorem,Noether's Theorem,Science
State Noether's theorem,Every differentiable symmetry has an associated conservation law,Science
He derived Bernoulli's Equation,Leohnard Euler,Science
State Bernoulli's principle,speed of a fluid is inversely proportional to pressure,Science
"The name ""Quark"" comes from this book",Finnegan's Wake,Science
Quantum chromodynamics is the study of this,Quarks,Science
He discovered Helium,Sir William Ramsay,Science
He discovered hydrogen,Henry Cavendish,Science
This element has the lowest boiling point,Helium,Science
He discovered Oxygen,Joseph Priestly,Science
He discovered Nitrogen,Daniel Rutherford,Science
This process is used to create NH3,Haber Bosch Process,Science
These two elements are liquid at room temperature,Mercury and Bromine,Science
This element is used in vulcanization to create rubber,Sulfur,Science
This element is isolated using the frasch process,Sulfur,Science
"This element is the fith most common in the universe, and second most commen halogen",Neon,Science
He first isolated aluminm,Hans Christian Orsted,Science
This process isolates aluminum,Bayer Process,Science
This substance dissolves gold,aqua regia,Science
